dataset,class,variable,n,mean,median,std,min,max
forecast_responses,Low,wave_height_m,27,0.3166666666666667,0.15,0.20939473213563387,0.15,0.75
forecast_responses,Low,wave_period_s,21,5.857142857142857,7.0,3.4392690253266642,1.0,9.0
forecast_responses,Low,wind_speed_m_s_1,26,2.457264957264957,1.3888888888888888,1.3781637176578718,1.3888888888888888,4.166666666666667
forecast_responses,Moderate,wave_height_m,40,0.9375,1.05,0.38841393463080676,0.15,1.95
forecast_responses,Moderate,wave_period_s,26,4.538461538461538,5.0,1.7258219892160198,1.0,7.0
forecast_responses,Moderate,wind_speed_m_s_1,29,7.3275862068965525,6.944444444444445,1.9250933248631312,4.166666666666667,9.722222222222221
forecast_responses,High,wave_height_m,45,1.5900000000000005,1.65,0.3420526275297415,0.75,1.95
forecast_responses,High,wave_period_s,28,4.785714285714286,5.0,3.1429773906770113,1.0,9.0
forecast_responses,High,wind_speed_m_s_1,40,12.986111111111109,12.5,2.258211073459482,6.944444444444445,15.277777777777777
